fish,session,tank,include,strain,y1.n,entrytotop.min,y1.mean,topbottom.mean,y1.sd,topbottom.sd,y1.skew,y1.se,
44,4,18,1,AB,5248,2235.00,18.5237,.1454,14.19112,.35253,.794,.034,
48,4,21,1,AB,2757,1820.00,60.1814,.6333,23.21568,.48199,-.302,.047,
45,4,22,1,AB,2197,4985.00,46.9615,.4115,19.06935,.49221,.369,.052,
41,4,23,1,AB,1004,1815.00,52.1831,.8327,11.81811,.37346,-.763,.077,
43,4,24,1,AB,5204,1855.00,21.4903,.2158,14.88719,.41141,.538,.034,
44,4,25,1,AB,5742,7040.00,36.3955,.2133,19.31971,.40970,1.139,.032,
47,4,26,1,AB,5488,1860.00,40.2273,.4419,18.27523,.49666,-.065,.033,
46,4,27,1,AB,4013,2055.00,41.8771,.5074,15.36685,.50001,-.070,.039,
42,4,28,1,AB,3159,1805.00,44.8373,.6872,19.09655,.46369,-.564,.044,
47,4,31,1,AB,5986,1805.00,51.4500,.5294,19.62422,.49918,-.107,.032,
41,4,32,1,AB,7601,1805.00,40.5316,.2830,14.99600,.45048,.556,.028,
43,4,33,1,AB,2695,2230.00,44.0103,.6315,13.98380,.48248,-.492,.047,
48,4,34,1,AB,6925,1805.00,34.9477,.5067,15.74197,.49999,-.318,.029,
45,4,35,1,AB,6417,8005.00,42.2287,.3650,21.98794,.48146,.411,.031,
46,4,36,1,AB,6373,1810.00,44.0199,.5042,16.60222,.50002,-.172,.031,
42,4,37,1,AB,5063,1805.00,61.3556,.7784,22.67462,.41537,-1.083,.034,
44,4,38,1,AB,5188,10655.00,14.2367,.0788,12.78028,.26951,1.171,.034,
43,4,41,1,AB,1254,2010.00,81.3460,.9514,12.88999,.21521,-1.786,.069,
44,4,42,1,AB,6611,6915.00,41.1054,.3175,19.83202,.46554,.530,.030,
47,4,43,1,AB,5963,1805.00,36.2200,.4779,21.04181,.49956,-.224,.032,
46,4,44,1,AB,4886,1850.00,29.9697,.3874,15.74987,.48721,.016,.035,
42,4,45,1,AB,2992,1995.00,83.3035,.8930,20.01520,.30910,-1.552,.045,
45,4,46,1,AB,5864,1875.00,37.2052,.3914,22.78747,.48810,.300,.032,
41,4,47,1,AB,7184,1805.00,33.7774,.3590,18.16186,.47974,.046,.029,
48,4,48,1,AB,6709,1805.00,34.9067,.5622,18.39938,.49615,-.448,.030,
45,4,51,1,AB,3456,1830.00,51.5143,.5119,21.60938,.49993,-.121,.042,
48,4,52,1,AB,6521,1805.00,65.5479,.7482,21.99046,.43408,-.773,.030,
44,4,53,1,AB,7323,1805.00,29.2323,.2540,17.43611,.43532,.306,.029,
42,4,54,1,AB,1459,1805.00,64.1004,.9102,15.29804,.28598,-2.115,.064,
46,4,55,1,AB,5275,1805.00,48.9873,.4718,21.33601,.49925,.099,.034,
41,4,56,1,AB,7591,2125.00,23.4115,.0211,7.55446,.14365,1.526,.028,
43,4,57,1,AB,4340,2070.00,67.5769,.9514,11.89431,.21509,-2.349,.037,
47,4,58,1,AB,5519,1960.00,29.8578,.3876,16.97815,.48724,.053,.033,
41,4,61,1,AB,6555,1805.00,61.0332,.6712,18.13105,.46980,-.303,.030,
46,4,62,1,AB,4246,2275.00,50.8635,.5165,19.56154,.49979,-.167,.038,
45,4,63,1,AB,4656,1845.00,24.0839,.2161,18.13547,.41160,.779,.036,
44,4,64,1,AB,6200,15330.00,23.0044,.1868,14.95832,.38976,.840,.031,
48,4,65,1,AB,6309,1805.00,64.4338,.7293,19.98363,.44437,-.555,.031,
42,4,66,1,AB,1774,1805.00,80.2444,.9036,19.43039,.29521,-2.451,.058,
43,4,67,1,AB,3662,4280.00,49.9199,.6928,19.33085,.46140,-.676,.040,
47,4,68,1,AB,5849,1810.00,33.2384,.4724,17.56559,.49928,-.152,.032,
53,5,11,1,5G,2280,1805.00,41.4673,.1890,17.13228,.39162,1.328,.051,
57,5,12,1,5G,6330,1805.00,79.1767,.8305,18.81119,.37523,-.732,.031,
51,5,13,1,5G,5357,2385.00,46.1070,.4424,28.94548,.49672,.176,.033,
54,5,14,1,5G,6651,5315.00,36.9839,.5142,19.18825,.49984,-.146,.030,
55,5,15,1,5G,6072,1810.00,67.5746,.6448,28.50889,.47862,-.523,.031,
58,5,16,1,5G,6414,5775.00,67.2826,.7136,23.57504,.45212,-.718,.031,
56,5,17,1,5G,6197,3195.00,31.4282,.2616,21.88366,.43953,.790,.031,
52,5,18,1,5G,6404,2020.00,40.5075,.5503,20.88831,.49750,-.281,.031,
53,5,21,1,5G,1671,29875.00,44.5762,.3273,16.58950,.46939,.563,.060,
57,5,22,1,5G,6624,4315.00,50.5208,.4995,16.66096,.50004,.279,.030,
51,5,23,1,5G,6058,2420.00,35.8452,.4236,24.37585,.49417,.124,.031,
54,5,24,1,5G,3109,10125.00,18.1579,.1940,15.51669,.39546,.924,.044,
55,5,25,1,5G,4726,1805.00,60.6366,.6708,22.43875,.46999,-.385,.036,
58,5,26,1,5G,5426,7705.00,70.1045,.7999,19.65394,.40015,-.988,.033,
56,5,27,1,5G,4710,2535.00,27.3916,.2437,23.25719,.42938,.965,.036,
52,5,28,1,5G,5574,1970.00,22.7334,.2696,17.64866,.44382,.618,.033,
51,5,31,1,5G,5289,1875.00,53.7546,.5010,26.82793,.50005,.052,.034,
54,5,32,1,5G,5568,3120.00,47.5921,.4734,19.45921,.49934,.180,.033,
58,5,33,1,5G,3699,1865.00,36.5663,.3828,18.51617,.48614,.256,.040,
55,5,34,1,5G,5107,1860.00,29.0562,.4703,18.73622,.49917,-.105,.034,
52,5,35,1,5G,4020,1805.00,61.0423,.6391,22.67944,.48033,-.321,.039,
53,5,36,1,5G,5395,1870.00,40.0354,.2664,17.70990,.44209,.749,.033,
57,5,37,1,5G,2863,9065.00,13.3201,.0241,11.17941,.15339,1.736,.046,
56,5,38,1,5G,5523,1820.00,43.0921,.7277,15.52497,.44519,-.983,.033,
51,5,41,1,5G,2875,2005.00,47.4729,.3781,25.73243,.48499,.514,.046,
56,5,42,1,5G,4815,3000.00,60.9501,.7377,20.01821,.43993,-.655,.035,
55,5,43,1,5G,5972,1805.00,31.6947,.3942,25.36704,.48871,.210,.032,
54,5,44,1,5G,4929,8425.00,19.5662,.2037,15.15569,.40278,.923,.035,
58,5,45,1,5G,3547,2070.00,51.3544,.4345,20.69318,.49575,.346,.041,
52,5,46,1,5G,6015,1805.00,58.6241,.6261,23.19934,.48388,-.306,.032,
53,5,47,1,5G,6448,7780.00,32.9428,.2725,17.16175,.44527,.691,.030,
57,5,48,1,5G,1379,16040.00,9.4516,.0399,10.23406,.19576,1.882,.066,
58,5,51,1,5G,6822,1805.00,68.3867,.7976,17.74932,.40184,-.874,.030,
55,5,52,1,5G,5822,2340.00,45.1173,.4888,26.64440,.49992,.031,.032,
51,5,53,1,5G,2593,14800.00,40.2973,.4373,15.80733,.49615,.094,.048,
53,5,54,1,5G,2576,2330.00,28.5787,.3932,20.14449,.48857,.191,.048,
54,5,55,1,5G,5656,3715.00,49.4045,.2841,18.33434,.45104,1.028,.033,
57,5,56,1,5G,2492,8540.00,23.3130,.1039,18.29099,.30523,2.218,.049,
56,5,57,1,5G,5336,1820.00,49.3602,.6413,19.75116,.47966,-.473,.034,
52,5,58,1,5G,4869,1955.00,30.0258,.4527,18.67959,.49780,-.014,.035,
57,5,61,1,5G,1240,4780.00,33.7012,.1629,18.52997,.36943,1.180,.069,
51,5,62,1,5G,6020,2240.00,37.5179,.2997,25.31178,.45815,.834,.032,
53,5,63,1,5G,7288,4525.00,32.5760,.2702,15.55504,.44408,.681,.029,
58,5,64,1,5G,6602,1940.00,27.6141,.3151,14.15324,.46457,.311,.030,
